Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
9750,1,4,PC4,Release,1,-4.25,-2,3.5,7.75,4.25,1.400862069
9750,1,4,PC4,Release,1,-4.25,NA,3.5,7.75,4.25,1.400862069
2662,9,2,PC2,Enhancement,1,4.2,4.2,7,2.8,4.2,1.853448276
3326,1,2,PC2,Bug,1,4.2,4.2,7,2.8,4.2,1.853448276
12564,1,6,PC6,Enhancement,1,-4.2,-4.2,21,25.2,4.2,3.663793103
9800,1,4,PC4,Release,1,-4.16,1,3,7.16,4.16,1.336206897
9800,1,4,PC4,Release,1,-4.16,NA,3,7.16,4.16,1.336206897
9800,1,4,PC4,Release,1,-4.16,NA,3,7.16,4.16,1.336206897
3625,2,11,PC11,Bug,1,4.14,4.14,14.5,10.36,4.14,2.823275862
12131,1,6,PC6,Enhancement,1,-4.14,NA,14,18.14,4.14,2.75862069
12131,1,6,PC6,Enhancement,1,-4.14,-1.14,14,18.14,4.14,2.75862069
12524,1,6,PC6,Enhancement,1,4.11,4.11,17.5,13.39,4.11,3.211206897
6232,1,9,PC9,Enhancement,1,-4.08,-4.08,5,9.08,4.08,1.594827586
12806,1,5,PC5,Bug,1,-4.08,NA,35,39.08,4.08,5.474137931
12806,1,5,PC5,Bug,1,-4.08,-3.58,35,39.08,4.08,5.474137931
13067,1,5,PC5,Bug,1,4.06,4.06,7,2.94,4.06,1.853448276
3490,1,16,PC16,Enhancement,1,4,4,10,6,4,2.24137931
3687,4,2,PC2,Bug,1,4,4,5,1,4,1.594827586
3700,4,17,PC17,Enhancement,1,4,4,7,3,4,1.853448276
3839,1,9,PC9,Bug,1,4,5.5,7,3,4,1.853448276
3839,1,9,PC9,Bug,1,4,NA,7,3,4,1.853448276
4016,5,2,PC2,Bug,1,4,4,6,2,4,1.724137931
4185,1,2,PC2,Enhancement,1,4,4,35,31,4,5.474137931
4425,1,2,PC2,Bug,1,-4,-0.5,3,7,4,1.336206897
4425,1,2,PC2,Bug,1,-4,NA,3,7,4,1.336206897
4484,5,2,PC2,Bug,1,-4,-4,7,11,4,1.853448276
4496,1,2,PC2,Release,1,-4,-4,7,11,4,1.853448276
4510,5,9,PC9,Bug,1,-4,-4,4,8,4,1.465517241
